temperature,time,concentration,type
1.0,0.0,195.99999999999991,预测
1.0,0.3007518796992481,196.5264880487785,预测
1.0,0.6015037593984962,197.06146496704113,预测
1.0,0.9022556390977443,197.60506762570944,预测
1.0,1.2030075187969924,198.15743510255436,预测
1.0,1.5037593984962405,198.71870871777674,预测
1.0,1.8045112781954886,199.28903207016472,预测
1.0,2.1052631578947367,199.86855107383215,预测
1.0,2.406015037593985,200.4574139955501,预测
1.0,2.706766917293233,201.05577149267972,预测
1.0,3.007518796992481,201.66377665171746,预测
1.0,3.308270676691729,202.28158502746115,预测
1.0,3.6090225563909772,202.90935468280793,预测
1.0,3.9097744360902253,203.5472462291945,预测
1.0,4.2105263157894735,204.19542286768745,预测
1.0,4.511278195488721,204.85405043073766,预测
1.0,4.81203007518797,205.52329742460861,预测
1.0,5.112781954887218,206.20333507248662,预测
1.0,5.413533834586466,206.8943373582878,预测
1.0,5.7142857142857135,207.59648107117096,预测
1.0,6.015037593984962,208.30994585076814,预测
1.0,6.315789473684211,209.03491423314438,预测
1.0,6.616541353383458,209.7715716974984,预测
1.0,6.917293233082706,210.52010671361646,预测
1.0,7.2180451127819545,211.28071079009177,预测
1.0,7.518796992481203,212.0535785233207,预测
1.0,7.819548872180451,212.8389076472883,预测
1.0,8.120300751879698,213.63689908415904,预测
1.0,8.421052631578947,214.44775699568066,预测
1.0,8.721804511278195,215.27168883541782,预测
1.0,9.022556390977442,216.10890540182834,预测
1.0,9.32330827067669,216.95962089219432,预测
1.0,9.62406015037594,217.8240529574242,预测
1.0,9.924812030075188,218.7024227577366,预测
1.0,10.225563909774436,219.59495501924317,预测
1.0,10.526315789473683,220.50187809144472,预测
1.0,10.827067669172932,221.42342400565076,预测
1.0,11.12781954887218,222.3598285343461,预测
1.0,11.428571428571427,223.3113312515099,预测
1.0,11.729323308270676,224.27817559391056,预测
1.0,12.030075187969924,225.2606089233869,预测
1.0,12.330827067669173,226.25888259013547,预测
1.0,12.631578947368421,227.27325199701542,预测
1.0,12.932330827067668,228.30397666489372,预测
1.0,13.233082706766917,229.35132029904028,预测
1.0,13.533834586466165,230.4155508565976,预测
1.0,13.834586466165412,231.49694061513426,预测
1.0,14.13533834586466,232.5957662423068,预测
1.0,14.436090225563909,233.7123088666428,预测
1.0,14.736842105263158,234.84685414946685,预测
1.0,15.037593984962406,235.99969235798488,预测
1.0,15.338345864661653,237.171118439548,预测
1.0,15.639097744360901,238.36143209711227,预测
1.0,15.93984962406015,239.5709378659168,预测
1.0,16.240601503759397,240.7999451913971,预测
1.0,16.541353383458645,242.04876850835518,预测
1.0,16.842105263157894,243.31772732140536,预测
1.0,17.142857142857142,244.60714628671923,预测
1.0,17.44360902255639,245.91735529508517,预测
1.0,17.74436090225564,247.24868955631126,预测
1.0,18.045112781954884,248.6014896849837,预测
1.0,18.345864661654133,249.97610178761522,预测
1.0,18.64661654135338,251.37287755119144,预测
1.0,18.94736842105263,252.79217433314955,预测
1.0,19.24812030075188,254.23435525280496,预测
1.0,19.548872180451127,255.69978928425516,预测
1.0,19.849624060150376,257.18885135077824,预测
1.0,20.150375939849624,258.7019224207549,预测
1.0,20.451127819548873,260.23938960513914,预测
1.0,20.751879699248118,261.8016462564955,预测
1.0,21.052631578947366,263.38909206963814,预测
1.0,21.353383458646615,265.00213318389024,预测
1.0,21.654135338345863,266.64118228699203,预测
1.0,21.954887218045112,268.30665872068505,预测
1.0,22.25563909774436,269.9989885879978,预测
1.0,22.55639097744361,271.71860486226365,预测
1.0,22.857142857142854,273.4659474978917,预测
1.0,23.157894736842103,275.2414635429293,预测
1.0,23.45864661654135,277.0456072534359,预测
1.0,23.7593984962406,278.8788402097017,预测
1.0,24.06015037593985,280.74163143434055,预测
1.0,24.360902255639097,282.6344575122874,预测
1.0,24.661654135338345,284.5578027127287,预测
1.0,24.962406015037594,286.5121591130012,预测
1.0,25.263157894736842,288.49802672448635,预测
1.0,25.563909774436087,290.5159136205364,预测
1.0,25.864661654135336,292.5663360664607,预测
1.0,26.165413533834585,294.6498186516114,预测
1.0,26.466165413533833,296.7668944235937,预测
1.0,26.76691729323308,298.91810502464705,预测
1.0,27.06766917293233,301.10400083021807,预测
1.0,27.36842105263158,303.32514108977193,预测
1.0,27.669172932330824,305.58209406987424,预测
1.0,27.969924812030072,307.8754371995777,预测
1.0,28.27067669172932,310.20575721815476,预测
1.0,28.57142857142857,312.57365032521153,预测
1.0,28.872180451127818,314.9797223332215,预测
1.0,29.172932330827066,317.42458882252043,预测
1.0,29.473684210526315,319.90887529879893,预测
1.0,29.774436090225564,322.4332173531328,预测
1.0,30.075187969924812,324.9982608245988,预测
1.0,30.375939849624057,327.6046619655053,预测
1.0,30.676691729323306,330.25308760929414,预测
1.0,30.977443609022554,332.9442153411439,预测
1.0,31.278195488721803,335.6787336713273,预测
1.0,31.57894736842105,338.45734221136286,预测
1.0,31.8796992481203,341.2807518530054,预测
1.0,32.180451127819545,344.1496849501263,预测
1.0,32.48120300751879,347.0648755035206,预测
1.0,32.78195488721804,350.0270693486987,预测
1.0,33.08270676691729,353.0370243467048,预测
1.0,33.38345864661654,356.09551057801013,预测
1.0,33.68421052631579,359.2033105395338,预测
1.0,33.984962406015036,362.36121934484134,预测
1.0,34.285714285714285,365.57004492756994,预测
1.0,34.58646616541353,368.83060824813214,预测
1.0,34.88721804511278,372.1437435037554,预测
1.0,35.18796992481203,375.510298341907,预测
